GCVS S And                      =M31 V0894
GCVS FV Boo                     =NSV 20253
GCVS FZ Boo                     =NSV 20040
GCVS GW Boo                     =NSV 19983
GCVS HK Boo                     =NSV 20115
GCVS HP Boo                     =NSV 20196
GCVS HQ Boo                     =NSV 06461
GCVS HR Boo                     =NSV 06813
GCVS HS Boo                     =NSV 06881
GCVS HT Boo                     =NSV 06940
GCVS HU Boo                     =NSV 06948
GCVS HV Boo                     =NSV 06969
GCVS HX Boo                     =NSV 06451
GCVS IN Boo                     =NSV 06570
GCVS KV Boo                     =NSV 06696
GCVS MU Boo                     =NSV 06811
GCVS NP Boo                     =NSV 06861
GCVS iot Boo                    =NSV 06610
GCVS RV Cae                     =NSV 01615
GCVS RZ Cae                     =NSV 01648
GCVS SW Cae                     =NSV 01698
GCVS SX Cae                     =NSV 01708
GCVS WW Cam                     =DM Cas
GCVS BO Cam                     =NSV 01084
GCVS BP Cam                     =NSV 01108
GCVS BS Cam                     =NSV 01936
GCVS BU Cam                     =NSV 05772
GCVS BW Cam                     =NSV 01910
GCVS BX Cam                     =NSV 02601
GCVS CN Cam                     =NSV 05256
GCVS CQ Cam                     =NSV 01121
GCVS CR Cam                     =NSV 01145
GCVS CS Cam                     =NSV 01152
GCVS CX Cam                     =NSV 01266
GCVS DH Cam                     =NSV 01538
GCVS DN Cam                     =NSV 01685
GCVS DO Cam                     =NSV 01720
GCVS EL Cam                     =NSV 02942
GCVS EW Cam                     =NSV 03573
GCVS FR Cam                     =NSV 05415
GCVS HU Cam                     =NSV 03881
GCVS HW Cam                     =NSV 03999
GCVS KX Cam                     =NSV 15678
GCVS KY Cam                     =NSV 15691
GCVS LL Cam                     =NSV 15800
GCVS LM Cam                     =NSV 15842
GCVS LO Cam                     =NSV 01450
GCVS LP Cam                     =NSV 01470
GCVS LQ Cam                     =NSV 15913
GCVS LR Cam                     =NSV 02544
GCVS MM Cam                     =NSV 15788
GCVS MV Cam                     =NSV 03967
GCVS MW Cam                     =NSV 19396
GCVS MX Cam                     =NSV 01403
GCVS MY Cam                     =NSV 15852
GCVS MZ Cam                     =NSV 01444
GCVS NN Cam                     =NSV 01485
GCVS NO Cam                     =NSV 01495
GCVS NP Cam                     =NSV 02748
GCVS NQ Cam                     =NSV 03715
GCVS NR Cam                     =NSV 03754
GCVS NS Cam                     =NSV 03771
GCVS NT Cam                     =NSV 04019
GCVS NU Cam                     =NSV 04638
GCVS V0484 Cam                  =NSV 03639
GCVS DK Cnc                     =NSV 04159
GCVS EF Cnc                     =NSV 04187
GCVS EH Cnc                     =NSV 04070
GCVS ES Cnc                     =NSV 04276
GCVS EV Cnc                     =NSV 04277
GCVS EZ Cnc                     =NSV 04285
GCVS FZ Cnc                     =NSV 04332
GCVS GM Cnc                     =NSV 04421
GCVS GO Cnc                     =NSV 04441
GCVS GQ Cnc                     =NSV 04411
GCVS HI Cnc                     =NSV 04192
GCVS HT Cnc                     =NSV 04272
GCVS HU Cnc                     =NSV 04274
GCVS HW Cnc                     =NSV 18053
GCVS IM Cnc                     =NSV 04322
GCVS IR Cnc                     =NSV 04069
GCVS IS Cnc                     =NSV 04150
GCVS IT Cnc                     =NSV 04207
GCVS IU Cnc                     =NSV 04347
GCVS LL Cnc                     =NSV 04269
GCVS MM Cnc                     =NSV 04158
GCVS MO Cnc                     =NSV 04188
GCVS BI CVn                     =NSV 06077
GCVS BK CVn                     =NSV 06179
GCVS BP CVn                     =NSV 05949
GCVS BU CVn                     =NSV 05591
GCVS BX CVn                     =NSV 05902
GCVS CL CVn                     =NSV 06220
GCVS CV CVn                     =NSV 06474
GCVS CY CVn                     =NSV 06519
GCVS DF CVn                     =NSV 05904
GCVS DN CVn                     =NSV 05476
GCVS DP CVn                     =NSV 19433
GCVS DT CVn                     =NSV 05983
GCVS EK CVn                     =NSV 06154
GCVS EL CVn                     =NSV 19773
GCVS EM CVn                     =NSV 06227
GCVS EN CVn                     =NSV 06303
GCVS FX CVn                     =NSV 06501
GCVS VZ CMa                     =AX Pup
GCVS AK CMa                     =NSV 03538
GCVS AT CMa                     =NSV 03404
GCVS DG CMa                     =NSV 03206
GCVS HR CMa                     =NSV 03024
GCVS IS CMa                     =NSV 02935
GCVS IU CMa                     =NSV 02944
GCVS IV CMa                     =NSV 02945
GCVS KX CMa                     =NSV 03259
GCVS MM CMa                     =NSV 03458
GCVS NN CMa                     =NSV 03564
GCVS OT CMa                     =NSV 17396
GCVS V0350 CMa                  =NSV 03181
GCVS V0352 CMa                  =NSV 16808
GCVS V0355 CMa                  =NSV 03025
GCVS V0357 CMa                  =NSV 03539
GCVS V0359 CMa                  =NSV 03552
GCVS V0360 CMa                  =NSV 02888
GCVS V0361 CMa                  =NSV 02956
GCVS V0362 CMa                  =NSV 02969
GCVS V0363 CMa                  =NSV 02985
GCVS V0364 CMa                  =NSV 03015
GCVS V0365 CMa                  =NSV 03037
GCVS V0366 CMa                  =NSV 03044
GCVS V0367 CMa                  =NSV 03042
GCVS V0368 CMa                  =NSV 03046
GCVS V0369 CMa                  =NSV 03051
GCVS V0370 CMa                  =NSV 03084
GCVS V0371 CMa                  =NSV 03169
GCVS V0372 CMa                  =NSV 03184
GCVS V0373 CMa                  =NSV 03209
GCVS V0374 CMa                  =NSV 03242
GCVS V0375 CMa                  =NSV 03251
GCVS V0376 CMa                  =NSV 03267
GCVS V0377 CMa                  =NSV 17233
GCVS V0378 CMa                  =NSV 03308
GCVS V0379 CMa                  =NSV 03327
GCVS V0380 CMa                  =NSV 03336
GCVS V0381 CMa                  =NSV 17283
GCVS V0382 CMa                  =NSV 03348
GCVS V0383 CMa                  =NSV 03357
GCVS V0384 CMa                  =NSV 03362
GCVS V0385 CMa                  =NSV 03361
GCVS V0386 CMa                  =NSV 03366
GCVS V0387 CMa                  =NSV 03384
GCVS V0388 CMa                  =NSV 17336
GCVS V0389 CMa                  =NSV 03391
GCVS V0389 CMa                  =NSV 03407
GCVS V0390 CMa                  =NSV 03393
GCVS V0391 CMa                  =NSV 03433
GCVS V0392 CMa                  =NSV 03439
GCVS V0393 CMa                  =NSV 03466
GCVS V0394 CMa                  =NSV 03471
GCVS V0395 CMa                  =NSV 03475
GCVS V0396 CMa                  =NSV 03482
GCVS V0397 CMa                  =NSV 03489
GCVS V0398 CMa                  =NSV 17456
GCVS V0415 CMa                  =NSV 16934
GCVS V0418 CMa                  =NSV 03354
GCVS V0419 CMa                  =NSV 03430
GCVS V0423 CMa                  =NSV 03571
GCVS V0424 CMa                  =NSV 17457
GCVS V0425 CMa                  =NSV 17458
GCVS V0437 CMa                  =NSV 16814
GCVS V0441 CMa                  =NSV 16873
GCVS V0442 CMa                  =NSV 03272
GCVS V0445 CMa                  =NSV 03509
GCVS iot CMa                    =NSV 03292
GCVS tau CMa                    =NSV 03528
GCVS WX CMi                     =NSV 03412
GCVS AK CMi                     =NSV 03680
GCVS BH CMi                     =NSV 03867
GCVS BL CMi                     =NSV 03570
GCVS BU CMi                     =NSV 03829
GCVS BX CMi                     =NSV 03438
GCVS BY CMi                     =NSV 03624
GCVS CY CMi                     =NSV 17401
GCVS DD CMi                     =NSV 17613
GCVS DE CMi                     =NSV 17751
GCVS DF CMi                     =NSV 03434
GCVS DG CMi                     =NSV 03521
GCVS DH CMi                     =NSV 03522
GCVS DI CMi                     =NSV 03594
GCVS DK CMi                     =NSV 03637
GCVS DL CMi                     =NSV 03710
GCVS DM CMi                     =NSV 17647
GCVS DN CMi                     =NSV 03927
GCVS AQ Cap                     =NSV 13478
GCVS BB Cap                     =NSV 13753
GCVS BI Cap                     =NSV 13120
GCVS CE Cap                     =NSV 25429
GCVS CO Cap                     =NSV 13131
GCVS CP Cap                     =NSV 13698
GCVS CQ Cap                     =NSV 13702
GCVS CR Cap                     =NSV 13710
GCVS CS Cap                     =NSV 13967
GCVS DG Cap                     =NSV 25239
GCVS DH Cap                     =NSV 13586
GCVS DN Cap                     =NSV 12827
GCVS DN Cap                     =NSV 12830
GCVS DY Cap                     =NSV 12804
GCVS EE Cap                     =NSV 12818
GCVS EF Cap                     =NSV 12825
GCVS EG Cap                     =NSV 12837
GCVS EI Cap                     =NSV 12873
GCVS EL Cap                     =NSV 12940
GCVS EN Cap                     =NSV 12985
GCVS EO Cap                     =NSV 13021
GCVS EP Cap                     =NSV 13029
GCVS EQ Cap                     =NSV 13272
GCVS ER Cap                     =NSV 13367
GCVS ES Cap                     =NSV 13372
GCVS ET Cap                     =NSV 13375
GCVS EU Cap                     =NSV 13399
GCVS EV Cap                     =NSV 13511
GCVS EW Cap                     =NSV 13513
GCVS EX Cap                     =NSV 13563
GCVS EZ Cap                     =NSV 13647
GCVS FG Cap                     =NSV 13736
GCVS FH Cap                     =NSV 13969
GCVS IZ Car                     =V0336 Car
GCVS NT Car                     =NSV 04602
GCVS V0358 Car                  =NSV 04457
GCVS V0374 Car                  =NSV 03856
GCVS V0376 Car                  =NSV 04328
GCVS V0382 Car                  =NSV 05103
GCVS V0385 Car                  =NSV 05089
GCVS V0393 Car                  =NSV 03859
GCVS V0394 Car                  =NSV 04016
GCVS V0397 Car                  =NSV 04705
GCVS V0399 Car                  =NSV 04865
GCVS V0411 Car                  =NSV 04884
GCVS V0414 Car                  =NSV 05082
GCVS V0429 Car                  =NSV 04939
GCVS V0448 Car                  =NSV 03220
GCVS V0452 Car                  =NSV 03468
GCVS V0461 Car                  =NSV 03871
GCVS V0466 Car                  =NSV 04003
GCVS V0467 Car                  =NSV 04023
GCVS V0477 Car                  =NSV 04415
GCVS V0482 Car                  =NSV 04516
GCVS V0487 Car                  =NSV 04623
GCVS V0493 Car                  =NSV 04684
GCVS V0495 Car                  =NSV 04755
GCVS V0508 Car                  =NSV 04875
GCVS V0509 Car                  =NSV 04878
GCVS V0519 Car                  =NSV 04948
GCVS V0520 Car                  =NSV 04951
GCVS V0525 Car                  =NSV 05023
GCVS V0529 Car                  =NSV 05074
GCVS V0533 Car                  =NSV 05137
GCVS V0535 Car                  =NSV 05163
GCVS V0539 Car                  =NSV 17897
GCVS V0560 Car                  =NSV 18503
GCVS V0572 Car                  =NSV 18510
GCVS V0573 Car                  =NSV 18512
GCVS V0575 Car                  =NSV 03589
GCVS V0576 Car                  =NSV 17859
GCVS V0577 Car                  =NSV 04052
GCVS V0578 Car                  =NSV 04229
GCVS V0579 Car                  =NSV 04372
GCVS V0580 Car                  =NSV 04379
GCVS V0581 Car                  =NSV 04380
GCVS V0582 Car                  =NSV 04381
GCVS V0583 Car                  =NSV 04410
GCVS V0584 Car                  =NSV 04416
GCVS V0585 Car                  =NSV 04424
GCVS V0586 Car                  =NSV 04449
GCVS V0587 Car                  =NSV 04466
GCVS V0588 Car                  =NSV 04467
GCVS V0589 Car                  =NSV 04483
GCVS V0590 Car                  =NSV 04491
GCVS V0591 Car                  =NSV 04500
GCVS V0592 Car                  =NSV 04542
GCVS V0593 Car                  =NSV 04549
GCVS V0594 Car                  =NSV 04561
GCVS V0595 Car                  =NSV 04583
GCVS V0595 Car                  =NSV 04586
GCVS V0598 Car                  =NSV 04950
GCVS V0600 Car                  =NSV 05087
GCVS V0603 Car                  =NSV 17246
GCVS V0604 Car                  =NSV 03497
GCVS V0605 Car                  =NSV 03687
GCVS V0606 Car                  =NSV 03725
GCVS V0607 Car                  =NSV 17677
GCVS V0608 Car                  =NSV 03920
GCVS V0609 Car                  =NSV 04408
GCVS V0610 Car                  =NSV 04476
GCVS V0611 Car                  =NSV 04528
GCVS V0612 Car                  =NSV 04535
GCVS V0613 Car                  =NSV 04546
GCVS V0614 Car                  =NSV 04559
GCVS V0615 Car                  =NSV 04560
GCVS V0616 Car                  =NSV 04591
GCVS V0617 Car                  =NSV 04589
GCVS V0618 Car                  =NSV 04592
GCVS V0619 Car                  =NSV 04610
GCVS V0620 Car                  =NSV 04603
GCVS V0621 Car                  =NSV 04606
GCVS V0622 Car                  =NSV 04611
GCVS V0623 Car                  =NSV 04625
GCVS V0624 Car                  =NSV 04626
GCVS V0625 Car                  =NSV 04657
GCVS V0626 Car                  =NSV 04659
GCVS V0627 Car                  =NSV 04655
GCVS V0628 Car                  =NSV 04666
GCVS V0629 Car                  =NSV 04670
GCVS V0630 Car                  =NSV 04679
GCVS V0631 Car                  =NSV 04687
GCVS V0632 Car                  =NSV 04686
GCVS V0633 Car                  =NSV 04700
GCVS V0634 Car                  =NSV 04708
GCVS V0635 Car                  =NSV 04711
GCVS V0636 Car                  =NSV 04714
GCVS V0637 Car                  =NSV 04716
GCVS V0638 Car                  =NSV 04718
GCVS V0639 Car                  =NSV 04722
GCVS V0640 Car                  =NSV 04727
GCVS V0641 Car                  =NSV 04728
GCVS V0642 Car                  =NSV 04735
GCVS V0643 Car                  =NSV 04737
GCVS V0644 Car                  =NSV 04751
GCVS V0645 Car                  =NSV 04754
GCVS V0646 Car                  =NSV 04760
GCVS V0647 Car                  =NSV 04769
GCVS V0648 Car                  =NSV 04775
GCVS V0649 Car                  =NSV 04783
GCVS V0650 Car                  =NSV 04795
GCVS V0651 Car                  =NSV 04830
GCVS V0652 Car                  =NSV 04853
GCVS V0653 Car                  =NSV 04858
GCVS V0654 Car                  =NSV 18424
GCVS V0655 Car                  =NSV 04881
GCVS V0656 Car                  =NSV 04910
GCVS V0657 Car                  =NSV 04919
GCVS V0658 Car                  =NSV 18470
GCVS V0659 Car                  =NSV 04944
GCVS V0660 Car                  =NSV 18486
GCVS V0661 Car                  =NSV 18497
GCVS V0662 Car                  =NSV 18518
GCVS V0663 Car                  =NSV 04984
GCVS V0664 Car                  =NSV 04991
GCVS V0665 Car                  =NSV 04996
GCVS V0666 Car                  =NSV 05001
GCVS V0667 Car                  =NSV 05002
GCVS V0668 Car                  =NSV 05009
GCVS V0669 Car                  =NSV 05010
GCVS V0670 Car                  =NSV 05027
GCVS V0671 Car                  =NSV 05039
GCVS V0672 Car                  =NSV 05046
GCVS V0673 Car                  =NSV 05084
GCVS V0674 Car                  =NSV 18655
GCVS V0675 Car                  =NSV 05098
GCVS V0676 Car                  =NSV 05112
GCVS V0677 Car                  =NSV 05142
GCVS V0678 Car                  =NSV 05166
GCVS V0691 Car                  =NSV 04650
GCVS V0694 Car                  =NSV 04680
GCVS V0696 Car                  =NSV 04683
GCVS V0704 Car                  =NSV 18353
GCVS V0716 Car                  =NSV 18433
